"Design#", "Name", "Maximum Memory Report", "Pressure Drop 1", "Toutlet Average", "Toutlet Standard Deviation", "Cell Count", "Total Solver Elapsed Time", "Performance", "model_file"
1, Design 1, 18.9202, 1.52703, 17.0153, 0.609736, 5.13479e+06, 35419.2, -1, mf_(1_0,200,90_0,12,12,4).stl
2, Design 2, 17.988, 1.51955, 17.0395, 0.588369, 4.56128e+06, 35414.1, -0.958633, mf_(1_0,200,112_5,12,0,4).stl
3, Design 3, 18.4304, 1.53721, 17.0193, 0.597057, 4.32815e+06, 35410.2, -0.985644, mf_(1_0,200,112_5,12,0,6).stl
4, Design 4, 18.8116, 1.55481, 17.0297, 0.602636, 4.60284e+06, 35414.1, -1.0057, mf_(1_0,200,112_5,12,0,8).stl
5, Design 5, 19.8677, 1.52703, 17.0153, 0.609736, 5.13479e+06, 35420.9, -1, mf_(1_0,200,112_5,12,12,4).stl
6, Design 6, 22.4621, 1.53706, 17.0185, 0.624767, 5.49996e+06, 35422.4, -1.03103, mf_(1_0,200,112_5,12,12,6).stl
7, Design 7, 23.3632, 1.57311, 17.0172, 0.611333, 6.03542e+06, 35428.7, -1.03268, mf_(1_0,200,112_5,12,12,8).stl
8, Design 8, 22.8624, 1.55322, 17.0254, 0.613759, 5.72742e+06, 35427.9, -1.02316, mf_(1_0,200,112_5,16,0,4).stl
9, Design 9, 23.8495, 1.57259, 17.0539, 0.606948, 5.40646e+06, 35422.6, -1.023, mf_(1_0,200,112_5,16,0,6).stl
10, Design 10, 23.7305, 1.5605, 17.0477, 0.621704, 5.32051e+06, 35423.2, -1.03965, mf_(1_0,200,112_5,16,0,8).stl
11, Design 11, 21.2327, 1.55318, 17.0582, 0.615238, 5.3659e+06, 35421.9, -1.02363, mf_(1_0,200,112_5,16,12,4).stl
12, Design 12, 21.854, 1.57848, 17.0455, 0.589576, 5.72493e+06, 35425.4, -0.998856, mf_(1_0,200,112_5,16,12,6).stl
13, Design 13, 24.6382, 1.555, 17.0405, 0.602184, 6.26426e+06, 35431.2, -1.00445, mf_(1_0,200,112_5,16,12,8).stl
14, Design 14, 24.2611, 1.54188, 17.0293, 0.597625, 6.48236e+06, 35439.4, -0.989038, mf_(1_0,200,112_5,20,0,4).stl
15, Design 15, 26.8215, 1.56784, 17.022, 0.601003, 6.1268e+06, 35433.3, -1.01201, mf_(1_0,200,112_5,20,0,6).stl
16, Design 16, 27.3366, 1.62612, 17.0063, 0.608381, 6.01639e+06, 35432.5, -1.0632, mf_(1_0,200,112_5,20,0,8).stl
17, Design 17, 22.5588, 1.55971, 17.013, 0.625237, 5.76722e+06, 35427.1, -1.04696, mf_(1_0,200,112_5,20,12,4).stl
18, Design 18, 24.2644, 1.55296, 17.0106, 0.614316, 6.12258e+06, 35431.6, -1.02477, mf_(1_0,200,112_5,20,12,6).stl
19, Design 19, 25.4957, 1.58187, 17.0078, 0.633401, 6.66437e+06, 35437.9, -1.07517, mf_(1_0,200,112_5,20,12,8).stl
20, Design 20, 28, 1.55769, 17.0238, 0.606704, 6.80839e+06, 35447.9, -1.0146, mf_(1_0,200,112_5,24,0,4).stl
21, Design 21, 28.2015, 1.59889, 17.0067, 0.593068, 6.62008e+06, 35443.4, -1.02023, mf_(1_0,200,112_5,24,0,6).stl
22, Design 22, 28.697, 1.59297, 17.011, 0.614044, 6.55133e+06, 35442.8, -1.0505, mf_(1_0,200,112_5,24,0,8).stl
23, Design 23, 25.0983, 1.5444, 17.0288, 0.609364, 6.16408e+06, 35432.4, -1.00997, mf_(1_0,200,112_5,24,12,4).stl
24, Design 24, 26.275, 1.57292, 16.9966, 0.631885, 6.53131e+06, 35438, -1.06748, mf_(1_0,200,112_5,24,12,6).stl
25, Design 25, 27.3159, 1.59484, 17.0326, 0.598837, 7.06621e+06, 35444.1, -1.02551, mf_(1_0,200,112_5,24,12,8).stl
26, Design 26, 17.9843, 1.51955, 17.0395, 0.588369, 4.56128e+06, 35413.8, -0.958633, mf_(1_0,200,135_0,12,0,4).stl
27, Design 27, 18.4771, 1.53721, 17.0193, 0.597057, 4.32815e+06, 35409.9, -0.985644, mf_(1_0,200,135_0,12,0,6).stl
28, Design 28, 18.796, 1.55481, 17.0297, 0.602636, 4.60284e+06, 35414.4, -1.0057, mf_(1_0,200,135_0,12,0,8).stl
29, Design 29, 19.8204, 1.52703, 17.0153, 0.609736, 5.13479e+06, 35419.4, -1, mf_(1_0,200,135_0,12,12,4).stl
30, Design 30, 22.4504, 1.53706, 17.0185, 0.624767, 5.49996e+06, 35422.1, -1.03103, mf_(1_0,200,135_0,12,12,6).stl
31, Design 31, 24.5612, 1.57311, 17.0172, 0.611333, 6.03542e+06, 35429.2, -1.03268, mf_(1_0,200,135_0,12,12,8).stl
32, Design 32, 22.8593, 1.55322, 17.0254, 0.613759, 5.72742e+06, 35427.9, -1.02316, mf_(1_0,200,135_0,16,0,4).stl
33, Design 33, 23.7951, 1.57259, 17.0539, 0.606948, 5.40646e+06, 35423.4, -1.023, mf_(1_0,200,135_0,16,0,6).stl
34, Design 34, 23.7475, 1.5605, 17.0477, 0.621704, 5.32051e+06, 35423.3, -1.03965, mf_(1_0,200,135_0,16,0,8).stl
35, Design 35, 21.2293, 1.55318, 17.0582, 0.615238, 5.3659e+06, 35421.4, -1.02363, mf_(1_0,200,135_0,16,12,4).stl
36, Design 36, 21.8488, 1.57848, 17.0455, 0.589576, 5.72493e+06, 35425.5, -0.998856, mf_(1_0,200,135_0,16,12,6).stl
37, Design 37, 24.6483, 1.555, 17.0405, 0.602184, 6.26426e+06, 35431.6, -1.00445, mf_(1_0,200,135_0,16,12,8).stl
38, Design 38, 27.2104, 1.54188, 17.0293, 0.597625, 6.48236e+06, 35439.9, -0.989038, mf_(1_0,200,135_0,20,0,4).stl
39, Design 39, 26.8462, 1.56784, 17.022, 0.601003, 6.1268e+06, 35433.8, -1.01201, mf_(1_0,200,135_0,20,0,6).stl
40, Design 40, 27.3437, 1.62612, 17.0063, 0.608381, 6.01639e+06, 35433.2, -1.0632, mf_(1_0,200,135_0,20,0,8).stl
41, Design 41, 22.5512, 1.55971, 17.013, 0.625237, 5.76722e+06, 35427.3, -1.04696, mf_(1_0,200,135_0,20,12,4).stl
42, Design 42, 24.2954, 1.55296, 17.0106, 0.614316, 6.12258e+06, 35431.7, -1.02477, mf_(1_0,200,135_0,20,12,6).stl
43, Design 43, 25.4538, 1.58187, 17.0078, 0.633401, 6.66437e+06, 35437.8, -1.07517, mf_(1_0,200,135_0,20,12,8).stl
44, Design 44, 27.9997, 1.55769, 17.0238, 0.606704, 6.80839e+06, 35447.7, -1.0146, mf_(1_0,200,135_0,24,0,4).stl
45, Design 45, 28.3728, 1.59889, 17.0067, 0.593068, 6.62008e+06, 35443.2, -1.02023, mf_(1_0,200,135_0,24,0,6).stl
46, Design 46, 29.4775, 1.59297, 17.011, 0.614044, 6.55133e+06, 35442.6, -1.0505, mf_(1_0,200,135_0,24,0,8).stl
47, Design 47, 25.2319, 1.5444, 17.0288, 0.609364, 6.16408e+06, 35431.1, -1.00997, mf_(1_0,200,135_0,24,12,4).stl
48, Design 48, 26.2936, 1.57292, 16.9966, 0.631885, 6.53131e+06, 35437.7, -1.06748, mf_(1_0,200,135_0,24,12,6).stl
49, Design 49, 27.338, 1.59484, 17.0326, 0.598837, 7.06621e+06, 35443.3, -1.02551, mf_(1_0,200,135_0,24,12,8).stl
50, Design 50, 18.0033, 1.51955, 17.0395, 0.588369, 4.56128e+06, 35413.9, -0.958633, mf_(1_0,200,90_0,12,0,4).stl
51, Design 51, 18.4403, 1.53721, 17.0193, 0.597057, 4.32815e+06, 35409.5, -0.985644, mf_(1_0,200,90_0,12,0,6).stl
52, Design 52, 18.7855, 1.55481, 17.0297, 0.602636, 4.60284e+06, 35414, -1.0057, mf_(1_0,200,90_0,12,0,8).stl
53, Design 53, 22.4642, 1.53706, 17.0185, 0.624767, 5.49996e+06, 35421.8, -1.03103, mf_(1_0,200,90_0,12,12,6).stl
54, Design 54, 24.5359, 1.57311, 17.0172, 0.611333, 6.03542e+06, 35429.3, -1.03268, mf_(1_0,200,90_0,12,12,8).stl
55, Design 55, 22.854, 1.55322, 17.0254, 0.613759, 5.72742e+06, 35427.8, -1.02316, mf_(1_0,200,90_0,16,0,4).stl
56, Design 56, 23.7462, 1.57259, 17.0539, 0.606948, 5.40646e+06, 35423.4, -1.023, mf_(1_0,200,90_0,16,0,6).stl
57, Design 57, 23.7426, 1.5605, 17.0477, 0.621704, 5.32051e+06, 35424.1, -1.03965, mf_(1_0,200,90_0,16,0,8).stl
58, Design 58, 21.2299, 1.55318, 17.0582, 0.615238, 5.3659e+06, 35421.8, -1.02363, mf_(1_0,200,90_0,16,12,4).stl
59, Design 59, 21.8482, 1.57848, 17.0455, 0.589576, 5.72493e+06, 35425.6, -0.998856, mf_(1_0,200,90_0,16,12,6).stl
60, Design 60, 24.6393, 1.555, 17.0405, 0.602184, 6.26426e+06, 35431.9, -1.00445, mf_(1_0,200,90_0,16,12,8).stl
61, Design 61, 27.2103, 1.54188, 17.0293, 0.597625, 6.48236e+06, 35439.4, -0.989038, mf_(1_0,200,90_0,20,0,4).stl
62, Design 62, 26.8555, 1.56784, 17.022, 0.601003, 6.1268e+06, 35433.7, -1.01201, mf_(1_0,200,90_0,20,0,6).stl
63, Design 63, 27.3546, 1.62612, 17.0063, 0.608381, 6.01639e+06, 35432.5, -1.0632, mf_(1_0,200,90_0,20,0,8).stl
64, Design 64, 22.5485, 1.55971, 17.013, 0.625237, 5.76722e+06, 35427, -1.04696, mf_(1_0,200,90_0,20,12,4).stl
65, Design 65, 24.2656, 1.55296, 17.0106, 0.614316, 6.12258e+06, 35431.4, -1.02477, mf_(1_0,200,90_0,20,12,6).stl
66, Design 66, 25.5155, 1.58187, 17.0078, 0.633401, 6.66437e+06, 35438.2, -1.07517, mf_(1_0,200,90_0,20,12,8).stl
67, Design 67, 27.7318, 1.55769, 17.0238, 0.606704, 6.80839e+06, 35447.3, -1.0146, mf_(1_0,200,90_0,24,0,4).stl
68, Design 68, 28.3254, 1.59889, 17.0067, 0.593068, 6.62008e+06, 35443.8, -1.02023, mf_(1_0,200,90_0,24,0,6).stl
69, Design 69, 28.4971, 1.59297, 17.011, 0.614044, 6.55133e+06, 35442.5, -1.0505, mf_(1_0,200,90_0,24,0,8).stl
70, Design 70, 25.0957, 1.5444, 17.0288, 0.609364, 6.16408e+06, 35431.3, -1.00997, mf_(1_0,200,90_0,24,12,4).stl
71, Design 71, 26.2915, 1.57292, 16.9966, 0.631885, 6.53131e+06, 35437.7, -1.06748, mf_(1_0,200,90_0,24,12,6).stl
72, Design 72, 27.2817, 1.59484, 17.0326, 0.598837, 7.06621e+06, 35443.3, -1.02551, mf_(1_0,200,90_0,24,12,8).stl
73, Design 73, 12.0522, 1.54925, 17.033, 0.600526, 2.07161e+06, 35382.2, -0.998408, mf_(2_5,200,112_5,12,0,4).stl
74, Design 74, 12.3154, 1.62466, 16.9977, 0.615277, 2.13583e+06, 35382.5, -1.07405, mf_(2_5,200,112_5,12,0,6).stl
75, Design 75, 12.2657, 1.59761, 17.0076, 0.60463, 2.25595e+06, 35383.9, -1.0383, mf_(2_5,200,112_5,12,0,8).stl
76, Design 76, 11.9073, 1.56782, 17.0491, 0.601494, 2.20363e+06, 35383.1, -1.01121, mf_(2_5,200,112_5,12,12,4).stl
77, Design 77, 12.5365, 1.60111, 17.0333, 0.581912, 2.29392e+06, 35384.2, -1.00182, mf_(2_5,200,112_5,12,12,6).stl
78, Design 78, 12.4068, 1.62477, 17.0303, 0.597733, 2.39728e+06, 35385.3, -1.04344, mf_(2_5,200,112_5,12,12,8).stl
79, Design 79, 14.0926, 1.56334, 17.0446, 0.601311, 2.4971e+06, 35386.8, -1.00824, mf_(2_5,200,112_5,16,0,4).stl
80, Design 80, 13.1683, 1.61261, 17.015, 0.607861, 2.5271e+06, 35387.2, -1.05299, mf_(2_5,200,112_5,16,0,6).stl
81, Design 81, 13.2071, 1.63487, 17.0386, 0.626825, 2.64541e+06, 35388.6, -1.09728, mf_(2_5,200,112_5,16,0,8).stl
82, Design 82, 12.8117, 1.56458, 17.0252, 0.62464, 2.42113e+06, 35385.4, -1.04845, mf_(2_5,200,112_5,16,12,4).stl
83, Design 83, 12.7856, 1.63432, 17.0107, 0.59692, 2.51345e+06, 35386.1, -1.04951, mf_(2_5,200,112_5,16,12,6).stl
84, Design 84, 13.4854, 1.62565, 17.0297, 0.606887, 2.61274e+06, 35387.9, -1.05907, mf_(2_5,200,112_5,16,12,8).stl
85, Design 85, 14.2574, 1.60721, 17.0344, 0.614298, 2.92883e+06, 35392.7, -1.05887, mf_(2_5,200,112_5,20,0,4).stl
86, Design 86, 15.2982, 1.63881, 17.0256, 0.584664, 2.97245e+06, 35391.9, -1.03148, mf_(2_5,200,112_5,20,0,6).stl
87, Design 87, 15.8456, 1.63067, 17.0193, 0.612285, 3.08498e+06, 35393.6, -1.07181, mf_(2_5,200,112_5,20,0,8).stl
88, Design 88, 12.8407, 1.58159, 17.0225, 0.58068, 2.61924e+06, 35387.2, -0.987651, mf_(2_5,200,112_5,20,12,4).stl
89, Design 89, 13.5301, 1.60357, 17.0114, 0.605436, 2.71408e+06, 35388.5, -1.0433, mf_(2_5,200,112_5,20,12,6).stl
90, Design 90, 13.654, 1.61332, 17.0025, 0.62037, 2.81064e+06, 35389.2, -1.0747, mf_(2_5,200,112_5,20,12,8).stl
91, Design 91, 16.129, 1.61846, 17.017, 0.58429, 3.22134e+06, 35396.3, -1.01804, mf_(2_5,200,112_5,24,0,4).stl
92, Design 92, 16.715, 1.68682, 17.0273, 0.612046, 3.26398e+06, 35396.9, -1.10772, mf_(2_5,200,112_5,24,0,6).stl
93, Design 93, 16.9364, 1.72013, 17.0388, 0.59564, 3.37987e+06, 35397.9, -1.10195, mf_(2_5,200,112_5,24,0,8).stl
94, Design 94, 14.3472, 1.54729, 17.0087, 0.623924, 2.81455e+06, 35389.3, -1.03693, mf_(2_5,200,112_5,24,12,4).stl
95, Design 95, 14.5632, 1.65484, 17.0231, 0.603704, 2.90615e+06, 35390.4, -1.07335, mf_(2_5,200,112_5,24,12,6).stl
96, Design 96, 14.4089, 1.60448, 16.9927, 0.61596, 3.00774e+06, 35391.8, -1.06225, mf_(2_5,200,112_5,24,12,8).stl
97, Design 97, 12.052, 1.54925, 17.033, 0.600526, 2.07161e+06, 35382, -0.998408, mf_(2_5,200,135_0,12,0,4).stl
98, Design 98, 12.2418, 1.62466, 16.9977, 0.615277, 2.13583e+06, 35382.6, -1.07405, mf_(2_5,200,135_0,12,0,6).stl
99, Design 99, 12.2495, 1.59761, 17.0076, 0.60463, 2.25595e+06, 35383.7, -1.0383, mf_(2_5,200,135_0,12,0,8).stl
100, Design 100, 11.9032, 1.56782, 17.0491, 0.601494, 2.20363e+06, 35382.9, -1.01121, mf_(2_5,200,135_0,12,12,4).stl
